[22:17:42] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:17:44] [ServerMain/INFO]: Loaded 7 recipes
[22:17:44] [ServerMain/INFO]: Loaded 1179 advancements
[22:17:45] [Server thread/INFO]: Starting minecraft server version 1.19.4
[22:17:45] [Server thread/INFO]: Loading properties
[22:17:45] [Server thread/INFO]: Default game type: SURVIVAL
[22:17:45] [Server thread/INFO]: Generating keypair
[22:17:46] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:17:46] [Server thread/INFO]: Using epoll channel type
[22:17:46] [Server thread/INFO]: Preparing level "world"
[22:17:59] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[22:18:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
